customer_id,address,postcode,state,country,property_valuation
3108,1742 Scott Center,4670,QLD,Australia,2
857,18 Parkside Plaza,4122,QLD,Australia,4
3455,757 Debs Avenue,4670,QLD,Australia,4
2549,01 Burning Wood Terrace,2323,NSW,Australia,9
3140,3 Canary Center,2040,NSW,Australia,10
3406,5 Northland Plaza,2096,NSW,Australia,9
2294,7 Melrose Circle,4017,QLD,Australia,5
1031,65634 Del Mar Crossing,4053,QLD,Australia,7
993,84019 Porter Trail,2871,NSW,Australia,3
1839,734 South Court,4152,QLD,Australia,8
1824,2364 Dovetail Way,3048,VIC,Australia,6
368,382 Maywood Parkway,4127,QLD,Australia,6
825,8640 Village Junction,2066,NSW,Australia,12
3315,6 North Court,3862,VIC,Australia,7
75,4763 Merchant Avenue,2756,New South Wales,Australia,8
1498,40 Dexter Crossing,2250,NSW,Australia,9
1612,84504 Doe Crossing Road,2441,NSW,Australia,4
2192,3 Thierer Plaza,4815,QLD,Australia,1
419,7526 Artisan Parkway,4223,QLD,Australia,8
3307,1172 Mesta Center,4740,QLD,Australia,2
2430,57769 Gulseth Lane,2040,NSW,Australia,10
1506,6 Canary Plaza,2223,NSW,Australia,8
1346,5 Springview Terrace,3620,VIC,Australia,4
927,2309 Gulseth Way,3199,VIC,Australia,8
763,08 Vidon Center,2143,NSW,Australia,5
2397,44083 Village Court,2142,NSW,Australia,7
102,55850 Butterfield Road,2168,New South Wales,Australia,9
2884,8369 Golf Court,2777,NSW,Australia,9
759,4 Vahlen Junction,2227,NSW,Australia,10
773,88 Bay Drive,4305,QLD,Australia,3
3297,50 Declaration Junction,3213,VIC,Australia,6
2434,1966 Glendale Avenue,4207,QLD,Australia,4
1861,7939 Toban Crossing,2770,NSW,Australia,7
1233,26 Lotheville Court,2085,NSW,Australia,11
1390,02701 Talmadge Junction,3082,VIC,Australia,7
2682,446 Warrior Pass,4740,QLD,Australia,5
439,8788 Armistice Trail,3806,VIC,Australia,8
1579,82 Hanover Avenue,2101,NSW,Australia,10
2984,0 Hayes Hill,2106,NSW,Australia,11
3470,176 Sutteridge Alley,3121,VIC,Australia,11
1,060 Morning Avenue,2016,New South Wales,Australia,10
757,195 Knutson Place,4019,QLD,Australia,8
1778,8 Vermont Pass,3930,VIC,Australia,9
211,78 Rockefeller Park,2159,NSW,Australia,10
32,2951 Petterle Place,2756,New South Wales,Australia,9
119,5814 Bunker Hill Street,3070,VIC,Australia,7
2347,1081 Laurel Park,2049,NSW,Australia,12
2353,22774 Pennsylvania Hill,2262,NSW,Australia,6
788,00 Mockingbird Junction,2141,NSW,Australia,9
1468,45725 Hagan Pass,2519,NSW,Australia,9
821,59000 American Center,2530,NSW,Australia,8
2489,9 Spaight Place,2102,NSW,Australia,9
2710,86445 Bonner Junction,4660,QLD,Australia,3
947,9 Clyde Gallagher Plaza,3021,VIC,Australia,7
1335,4 Sycamore Pass,3977,VIC,Australia,5
1076,44 Ramsey Road,2515,NSW,Australia,9
3320,88 Michigan Junction,3109,VIC,Australia,10
779,2570 Wayridge Park,2093,NSW,Australia,9
3296,85 Carioca Drive,2154,NSW,Australia,11
455,6 Mariners Cove Center,2233,NSW,Australia,10
1779,6238 Hanover Crossing,3141,VIC,Australia,7
2703,4826 Crowley Park,2779,NSW,Australia,7
806,018 Erie Point,2767,NSW,Australia,9
1591,54 Veith Drive,2073,NSW,Australia,12
678,96910 Sugar Point,4352,QLD,Australia,7
50,957 Veith Junction,2047,New South Wales,Australia,10
1453,58516 Tony Plaza,2567,NSW,Australia,8
1339,8766 Onsgard Plaza,3805,VIC,Australia,8
3382,40 Sauthoff Circle,3129,VIC,Australia,10
2503,62 Doe Crossing Junction,2760,NSW,Australia,7
1057,7 Main Crossing,2065,NSW,Australia,12
1397,79206 Independence Drive,3061,VIC,Australia,5
2134,654 Kim Parkway,3175,VIC,Australia,3
2403,544 Northland Place,2190,NSW,Australia,10
1937,698 Old Gate Lane,2619,NSW,Australia,3
1282,791 Elgar Trail,4340,QLD,Australia,5
2183,8142 Tomscot Drive,4132,QLD,Australia,4
1788,67 Hooker Place,2380,NSW,Australia,5
1170,378 Prentice Point,4064,QLD,Australia,9
431,6920 Dwight Circle,4173,QLD,Australia,7
1940,1 Vernon Terrace,4226,QLD,Australia,6
2073,9499 Alpine Drive,3175,VIC,Australia,8
462,23 Glacier Hill Avenue,2259,NSW,Australia,6
2728,512 Forest Run Center,3188,VIC,Australia,11
2053,896 Helena Parkway,4551,QLD,Australia,7
2135,0 Moose Court,2063,NSW,Australia,12
1217,387 Pawling Drive,2580,NSW,Australia,4
2992,9610 Gateway Trail,3429,VIC,Australia,5
3261,4591 Del Sol Court,2745,NSW,Australia,8
2748,4320 Toban Avenue,2260,NSW,Australia,11
3067,2178 Washington Hill,3806,VIC,Australia,6
701,537 Packers Street,4562,QLD,Australia,5
648,9 Mayfield Road,4551,QLD,Australia,7
3286,1 Fairview Park,3977,VIC,Australia,7
3383,48 Rockefeller Court,3786,VIC,Australia,8
982,8276 Hudson Trail,2250,NSW,Australia,6
676,4 Sunfield Circle,2194,NSW,Australia,8
385,58211 Surrey Crossing,2170,NSW,Australia,9
1229,7929 Grasskamp Trail,2119,NSW,Australia,11
3232,78258 Hanover Plaza,3070,VIC,Australia,10
3300,08 Upham Place,2176,NSW,Australia,9
2381,9 American Ash Plaza,2015,NSW,Australia,9
371,92808 Mallard Terrace,3215,VIC,Australia,4
2519,685 International Lane,4825,QLD,Australia,2
2264,883 Almo Terrace,3977,VIC,Australia,6
2637,518 Colorado Trail,2100,NSW,Australia,10
2267,93 Shasta Avenue,4171,QLD,Australia,10
456,572 Gerald Trail,2145,NSW,Australia,7
3121,969 Sycamore Point,2304,NSW,Australia,7
2365,743 Stone Corner Parkway,4127,QLD,Australia,6
2528,3 Myrtle Terrace,4161,QLD,Australia,7
3241,7574 Onsgard Drive,4011,QLD,Australia,7
2234,501 Reindahl Alley,2069,NSW,Australia,12
3226,97 Sunnyside Junction,3977,VIC,Australia,7
1365,970 Sundown Place,3222,VIC,Australia,5
3349,9 Brown Pass,3196,VIC,Australia,9
1002,656 Bartelt Parkway,3127,VIC,Australia,12
2282,953 Del Sol Point,3630,VIC,Australia,4
2656,444 Spaight Crossing,3070,VIC,Australia,10
2409,4177 Bluejay Street,2560,NSW,Australia,8
1711,2 Dwight Point,4133,QLD,Australia,5
2582,6551 Atwood Road,4216,QLD,Australia,7
1005,67 Holmberg Way,2165,NSW,Australia,9
1597,019 Derek Hill,2224,NSW,Australia,10
2713,29895 Crest Line Point,2049,NSW,Australia,11
1435,8934 Park Meadow Street,2756,NSW,Australia,8
1614,835 Thackeray Place,2261,NSW,Australia,6
1254,563 Northport Drive,4701,QLD,Australia,1
1423,5700 Banding Lane,2762,NSW,Australia,9
276,370 Portage Parkway,3125,VIC,Australia,8
1315,55326 Fulton Hill,3931,VIC,Australia,10
591,36912 Gina Pass,2133,NSW,Australia,11
1017,42 Lunder Drive,2027,NSW,Australia,11
2123,43 Sunbrook Terrace,4160,QLD,Australia,10
2889,37595 Packers Terrace,3064,VIC,Australia,5
3208,43 South Pass,3620,VIC,Australia,2
2406,645 Thackeray Street,4879,QLD,Australia,6
2041,51739 Sundown Hill,2009,NSW,Australia,9
1598,4 Florence Street,2032,NSW,Australia,11
141,585 Loomis Court,2097,New South Wales,Australia,11
1321,57384 Sycamore Park,4370,QLD,Australia,6
183,8 Haas Park,2074,NSW,Australia,10
2591,5342 Hallows Lane,2021,NSW,Australia,12
766,3903 Messerschmidt Park,2164,NSW,Australia,8
1596,5447 Weeping Birch Place,2086,NSW,Australia,12
520,3169 Old Gate Point,2211,NSW,Australia,9
868,519 Maywood Pass,2768,NSW,Australia,10
352,6 Sunbrook Center,4350,QLD,Australia,6
1140,8587 Graceland Way,2206,NSW,Australia,10
621,363 Schiller Court,2763,NSW,Australia,7
1502,78960 Schiller Lane,2450,NSW,Australia,4
936,5 Reindahl Point,3400,VIC,Australia,2
939,32 Dennis Hill,2233,NSW,Australia,9
2698,77196 West Crossing,2166,NSW,Australia,8
579,4559 Stoughton Lane,2097,NSW,Australia,10
2036,18 Karstens Drive,2233,NSW,Australia,10
3077,25578 Mayfield Drive,2099,NSW,Australia,10
369,6085 Petterle Circle,3130,VIC,Australia,10
2687,40923 Truax Drive,2208,NSW,Australia,10
681,76 Hanson Junction,2147,NSW,Australia,9
37,54 Sage Plaza,4726,QLD,Australia,1
396,32 Farragut Avenue,2076,NSW,Australia,11
550,1949 Pepper Wood Pass,3168,Victoria,Australia,6
1605,2517 Glacier Hill Point,3219,VIC,Australia,3
2325,92 Schlimgen Hill,3023,VIC,Australia,8
1420,255 Doe Crossing Terrace,2767,NSW,Australia,8
3099,5406 Mockingbird Center,4870,QLD,Australia,7
1645,38330 Badeau Place,2154,NSW,Australia,11
546,20198 Hansons Plaza,2340,NSW,Australia,2
2885,17 Sachs Street,2761,NSW,Australia,8
2740,28820 Monica Circle,2226,NSW,Australia,7
3166,1 Glacier Hill Parkway,2017,NSW,Australia,8
3487,30011 Manufacturers Hill,3146,VIC,Australia,9
2890,63 Bayside Center,2018,NSW,Australia,11
3370,01 Nevada Alley,2076,NSW,Australia,12
3393,0 Weeping Birch Plaza,2093,NSW,Australia,12
2410,75351 Ridgeview Lane,3181,VIC,Australia,11
3466,6 4th Lane,3079,VIC,Australia,11
1454,583 Jenna Pass,2567,NSW,Australia,9
3089,7 Westridge Terrace,4504,QLD,Australia,7
3123,6915 Nobel Crossing,2195,NSW,Australia,6
2692,8658 Maple Wood Plaza,3020,VIC,Australia,7
2801,9677 Hagan Lane,3212,VIC,Australia,3
1580,3384 Nelson Circle,4227,QLD,Australia,3
1777,835 West Hill,2118,NSW,Australia,11
142,68063 Blue Bill Park Center,3058,VIC,Australia,9
1258,71 Sundown Circle,4720,QLD,Australia,1
3405,80269 Southridge Park,4014,QLD,Australia,6
3198,05600 Lien Plaza,3796,VIC,Australia,8
834,3 Washington Plaza,3199,VIC,Australia,7
3467,682 Claremont Circle,4350,QLD,Australia,6
3436,34 Calypso Court,2153,NSW,Australia,10
1516,4517 Colorado Place,2210,NSW,Australia,10
2833,2038 Esker Road,2650,NSW,Australia,4
2362,89972 Graedel Point,2176,NSW,Australia,9
2337,2 Straubel Lane,2477,NSW,Australia,6
2149,2 Spaight Road,2210,NSW,Australia,10
2133,32 Spenser Crossing,2880,NSW,Australia,1
360,708 Russell Parkway,2530,NSW,Australia,7
2969,22239 Waubesa Way,2763,NSW,Australia,9
1720,644 Karstens Place,3040,VIC,Australia,11
2904,25 Schlimgen Terrace,2211,NSW,Australia,9
754,00 Evergreen Center,3850,VIC,Australia,4
1826,318 Jenifer Alley,2119,NSW,Australia,11
2487,34797 Londonderry Trail,3806,VIC,Australia,7
2815,69490 Orin Trail,3029,VIC,Australia,5
541,8304 Derek Park,3130,Victoria,Australia,10
302,0 Orin Place,4506,QLD,Australia,7
2024,53358 David Circle,4306,QLD,Australia,3
768,06495 Swallow Terrace,2759,NSW,Australia,9
2147,4559 Sundown Trail,2148,NSW,Australia,8
529,66834 Melby Way,2160,NSW,Australia,9
624,575 Prentice Road,2168,NSW,Australia,8
2302,4 Delaware Terrace,3804,VIC,Australia,8
3380,2 Roxbury Pass,3977,VIC,Australia,5
314,706 Anniversary Alley,3064,VIC,Australia,3
1079,2827 Fallview Lane,2064,NSW,Australia,9
1643,78 Bultman Junction,2047,NSW,Australia,10
1524,0534 Bartelt Trail,2760,NSW,Australia,8
3205,378 Maple Pass,2153,NSW,Australia,10
2860,221 Autumn Leaf Trail,2564,NSW,Australia,7
772,50851 Vahlen Avenue,2567,NSW,Australia,7
323,82 8th Alley,4210,QLD,Australia,9
1883,57 Marquette Hill,4120,QLD,Australia,6
2745,198 Garrison Pass,2767,NSW,Australia,8
2819,4 American Ash Circle,2211,NSW,Australia,10
792,4085 Jackson Hill,2830,NSW,Australia,7
923,43455 Carey Center,4131,QLD,Australia,4
3353,9229 Division Park,2205,NSW,Australia,8
3394,06 Northwestern Center,2019,NSW,Australia,10
3213,7858 Sauthoff Crossing,3079,VIC,Australia,11
3260,056 Petterle Drive,4075,QLD,Australia,4
1015,738 Division Street,3024,VIC,Australia,8
2266,7037 North Park,2484,NSW,Australia,6
58,18 Elgar Park,2166,New South Wales,Australia,9
3118,81183 Maple Wood Plaza,4152,QLD,Australia,8
1414,623 Talisman Way,2763,NSW,Australia,8
2202,26049 Straubel Point,2099,NSW,Australia,11
2144,47 Kensington Avenue,2650,NSW,Australia,4
1033,5549 Bay Point,4068,QLD,Australia,9
2157,735 Eastlawn Place,4160,QLD,Australia,8
1097,9623 Fisk Plaza,2164,NSW,Australia,8
2757,2992 Scott Hill,3046,VIC,Australia,8
87,4423 Bartelt Parkway,2038,New South Wales,Australia,12
2049,0 Red Cloud Place,2217,NSW,Australia,8
952,283 Ryan Street,3752,VIC,Australia,7
1745,4216 Annamark Pass,4300,QLD,Australia,4
40,3496 Brown Drive,2207,New South Wales,Australia,8
372,841 Anderson Drive,3101,VIC,Australia,8
1627,0 Namekagon Circle,3150,VIC,Australia,9
444,421 Bobwhite Road,2160,NSW,Australia,6
217,603 Kenwood Avenue,2070,NSW,Australia,11
1656,58 Kipling Avenue,4560,QLD,Australia,8
485,00976 Sundown Lane,2428,NSW,Australia,3
506,808 Debra Center,3911,Victoria,Australia,10
1881,0 Superior Pass,2050,NSW,Australia,8
2903,493 Calypso Center,2170,NSW,Australia,8
1274,1075 Raven Place,4512,QLD,Australia,7
1443,3416 Texas Pass,2747,NSW,Australia,7
2091,68882 Commercial Crossing,2320,NSW,Australia,3
1493,9 Sycamore Pass,2287,NSW,Australia,5
476,47 Dwight Road,4217,QLD,Australia,8
940,54905 Anniversary Pass,4570,QLD,Australia,2
2930,51 Bay Junction,2081,NSW,Australia,10
2354,9 Merrick Plaza,3138,VIC,Australia,8
416,05 Butternut Crossing,4552,QLD,Australia,4
1013,495 Elmside Drive,2179,NSW,Australia,8
533,1038 Hayes Point,2021,NSW,Australia,7
968,00 Park Meadow Terrace,2450,NSW,Australia,6
727,80027 Ryan Terrace,3551,Victoria,Australia,3
1160,3 Sachs Point,2250,NSW,Australia,7
3425,5 Anhalt Court,3122,VIC,Australia,7
2140,47336 Garrison Court,4670,QLD,Australia,1
2589,1817 Bluejay Avenue,4218,QLD,Australia,10
62,41 Schurz Center,2749,New South Wales,Australia,8
1112,915 Thackeray Junction,2204,NSW,Australia,11
1995,62965 Morningstar Junction,4109,QLD,Australia,9
1965,7 Elgar Plaza,2250,NSW,Australia,9
366,8 Mariners Cove Drive,2096,NSW,Australia,10
2993,00 Cordelia Trail,2138,NSW,Australia,9
1887,72 Mandrake Court,3183,VIC,Australia,9
1692,36445 Meadow Valley Road,3087,VIC,Australia,9
1927,26876 Lyons Court,3166,VIC,Australia,10
2567,4 Barby Avenue,2705,NSW,Australia,5
3276,5 Coolidge Avenue,4750,QLD,Australia,2
1808,21969 Lawn Court,2095,NSW,Australia,9
2368,29 Basil Point,2284,NSW,Australia,5
470,0 Golf Lane,2120,NSW,Australia,11
3270,54 Bonner Drive,3068,VIC,Australia,10
880,42 Thompson Hill,2234,NSW,Australia,10
309,37006 Hoard Circle,3182,VIC,Australia,7
1698,1301 Northwestern Place,2117,NSW,Australia,9
1434,184 Melrose Pass,2756,NSW,Australia,11
2712,18652 Springs Plaza,2259,NSW,Australia,7
832,44997 Anniversary Way,4114,QLD,Australia,3
2834,33 Norway Maple Street,2760,NSW,Australia,7
3015,2942 Swallow Trail,4214,QLD,Australia,9
3484,3 Butterfield Trail,4519,QLD,Australia,6
2775,75642 Kinsman Terrace,4014,QLD,Australia,8
1208,61 Kim Avenue,2079,NSW,Australia,10
2109,7 Porter Parkway,2261,NSW,Australia,8
3195,6590 Fremont Avenue,2077,NSW,Australia,8
3366,63493 Erie Place,2144,NSW,Australia,7
2492,46 Victoria Center,2770,NSW,Australia,9
389,8 Holy Cross Center,2047,NSW,Australia,9
552,58 Maywood Place,2750,NSW,Australia,9
3009,72 Dennis Road,3805,VIC,Australia,7
2925,00 Heath Road,2259,NSW,Australia,8
140,829 Washington Crossing,3186,VIC,Australia,9
209,528 Mandrake Crossing,2222,NSW,Australia,11
225,682 Sheridan Avenue,2566,NSW,Australia,9
1595,8 Warrior Avenue,3197,VIC,Australia,9
2559,3934 Karstens Circle,2650,NSW,Australia,2
769,033 Loftsgordon Center,2150,NSW,Australia,8
2377,86686 Novick Center,3147,VIC,Australia,11
3355,45 Talisman Pass,4102,QLD,Australia,4
2350,6 Anniversary Place,2213,NSW,Australia,10
720,78 Glacier Hill Drive,2026,NSW,Australia,10
3249,49 Surrey Pass,2325,NSW,Australia,4
2939,72 Buell Pass,2200,NSW,Australia,9
1035,6 Kedzie Hill,2214,NSW,Australia,9
492,11731 3rd Hill,3004,Victoria,Australia,9
3100,07 Loeprich Junction,2101,NSW,Australia,11
1586,256 Fordem Street,2119,NSW,Australia,11
31,2294 Pleasure Place,2135,New South Wales,Australia,12
887,707 Spaight Place,2830,NSW,Australia,4
2498,07623 Mandrake Trail,2093,NSW,Australia,11
3415,1 Village Green Circle,2285,NSW,Australia,7
2828,54 Green Point,3015,VIC,Australia,10
3117,073 Fremont Alley,3805,VIC,Australia,7
2850,70 Shopko Drive,2487,NSW,Australia,9
2779,5108 Springview Circle,2128,NSW,Australia,7
683,40545 Forster Point,2262,NSW,Australia,7
2342,5 Stoughton Parkway,2099,NSW,Australia,9
3388,72728 Ruskin Way,2291,NSW,Australia,6
1968,243 Raven Drive,4815,QLD,Australia,3
2923,3957 American Ash Plaza,2440,NSW,Australia,2
15,9861 New Castle Avenue,2428,New South Wales,Australia,9
2659,882 Mitchell Place,4151,QLD,Australia,4
3417,182 Thierer Pass,3131,VIC,Australia,12
1862,0672 Lyons Pass,2153,NSW,Australia,10
1670,59 Steensland Alley,2018,NSW,Australia,11
2126,8209 Tony Plaza,2810,NSW,Australia,1
2702,8598 Nova Parkway,2758,NSW,Australia,9
125,684 Northport Circle,2213,New South Wales,Australia,10
750,99 Wayridge Place,2263,NSW,Australia,8
359,7 Debs Point,2322,NSW,Australia,4
2820,68 Roth Crossing,2295,NSW,Australia,8
850,036 Kedzie Terrace,2163,NSW,Australia,9
3072,6269 Oak Valley Avenue,2323,NSW,Australia,5
820,58047 Westport Road,2040,NSW,Australia,12
919,55 Daystar Court,2234,NSW,Australia,10
1250,795 Arapahoe Hill,4818,QLD,Australia,7
1655,22 Badeau Avenue,3161,VIC,Australia,11
1194,261 Farmco Drive,4118,QLD,Australia,4
234,816 Spohn Center,2036,NSW,Australia,10
724,09 Bartelt Lane,2190,NSW,Australia,8
1976,986 Hollow Ridge Crossing,3821,VIC,Australia,7
193,10878 Waywood Way,4352,QLD,Australia,7
1588,7032 Hallows Drive,2126,NSW,Australia,11
167,75612 Clarendon Junction,4352,QLD,Australia,6
2821,859 Harbort Alley,2099,NSW,Australia,11
1201,1911 Waxwing Point,2761,NSW,Australia,9
893,1 5th Parkway,2148,NSW,Australia,8
2794,01209 Southridge Hill,2216,NSW,Australia,8
1422,0 Talisman Trail,2769,NSW,Australia,10
3476,8863 Maywood Court,2101,NSW,Australia,11
505,4754 Moulton Alley,2069,NSW,Australia,9
1132,8 Hansons Street,3076,VIC,Australia,7
2363,17123 Northport Circle,4223,QLD,Australia,9
1816,3202 Ridge Oak Alley,4121,QLD,Australia,9
73,0212 Forest Run Trail,2774,New South Wales,Australia,8
647,678 Old Gate Pass,3171,Victoria,Australia,9
1304,16039 Warrior Parkway,4130,QLD,Australia,7
344,85 Straubel Park,2147,NSW,Australia,9
1001,27 Sunfield Center,4869,QLD,Australia,3
2724,3 Independence Street,4073,QLD,Australia,6
1787,79427 Hudson Trail,3677,VIC,Australia,1
524,84 Calypso Circle,3690,Victoria,Australia,5
479,340 Northview Circle,2340,NSW,Australia,4
1782,162 Golf View Hill,2011,NSW,Australia,6
361,66286 Homewood Alley,2075,NSW,Australia,11
1135,1792 Judy Road,2539,NSW,Australia,6
941,5 Gale Street,4507,QLD,Australia,8
804,15067 Commercial Pass,4006,QLD,Australia,7
2729,304 Moland Street,3810,VIC,Australia,5
223,78 Surrey Place,2502,NSW,Australia,7
1571,608 Rutledge Drive,2121,NSW,Australia,11
2747,5 Lakewood Gardens Court,2118,NSW,Australia,9
2676,1411 Jenifer Center,4670,QLD,Australia,3
547,04678 Elka Crossing,2745,NSW,Australia,9
2623,9837 Granby Alley,2445,NSW,Australia,7
661,30274 Graedel Way,2577,NSW,Australia,7
1854,48023 International Way,3630,VIC,Australia,1
1037,1715 Scoville Drive,2031,NSW,Australia,11
1446,70262 Hermina Court,3690,VIC,Australia,2
500,2639 Brown Road,3910,Victoria,Australia,7
2468,62052 Loomis Avenue,4014,QLD,Australia,8
1785,30 Delladonna Plaza,3046,VIC,Australia,8
2560,583 Eagle Crest Road,2000,NSW,Australia,8
1853,867 Grim Terrace,3754,VIC,Australia,6
3468,7 Weeping Birch Alley,2230,NSW,Australia,12
3389,024 Onsgard Alley,3134,VIC,Australia,9
3073,74910 Burning Wood Junction,3132,VIC,Australia,10
1020,16395 Nevada Lane,2145,NSW,Australia,10
1052,06 Declaration Hill,3184,VIC,Australia,11
1679,2 Pankratz Place,2063,NSW,Australia,11
3330,75106 Oriole Junction,2030,NSW,Australia,12
311,099 Nova Plaza,2227,NSW,Australia,10
1996,6698 Melody Crossing,4556,QLD,Australia,8
997,1 Continental Center,2146,NSW,Australia,9
1276,7310 Shopko Trail,4500,QLD,Australia,8
693,0 Carey Drive,4110,QLD,Australia,4
3013,399 Butterfield Crossing,4115,QLD,Australia,7
1171,95 Forest Run Drive,4152,QLD,Australia,8
1849,6809 Maple Park,3023,VIC,Australia,8
827,1 Oriole Alley,4171,QLD,Australia,11
1499,543 Morrow Terrace,2261,NSW,Australia,8
2233,390 Meadow Vale Circle,2560,NSW,Australia,9
103,68 Little Fleur Crossing,2046,New South Wales,Australia,12
1494,005 Prentice Circle,2307,NSW,Australia,5
1559,2 Darwin Parkway,2118,NSW,Australia,9
3381,602 Haas Drive,3799,VIC,Australia,3
1517,91433 Hollow Ridge Crossing,2210,NSW,Australia,10
776,2699 Crest Line Way,4869,QLD,Australia,4
1018,3 Hayes Court,3109,VIC,Australia,10
3280,9 Hallows Circle,2113,NSW,Australia,11
1042,094 Green Road,2216,NSW,Australia,11
1312,764 Dahle Alley,4115,QLD,Australia,8
682,3 Sheridan Park,2548,NSW,Australia,8
1555,845 Mendota Center,2148,NSW,Australia,8
246,25503 Evergreen Drive,4300,QLD,Australia,5
2734,27 Fuller Trail,2233,NSW,Australia,8
2336,366 Hovde Park,2566,NSW,Australia,8
2391,9501 Melby Avenue,4178,QLD,Australia,7
2139,27 Mayer Lane,3756,VIC,Australia,7
867,8360 Washington Avenue,3124,VIC,Australia,12
543,20 Debs Road,2307,NSW,Australia,4
2839,9695 Northland Pass,2450,NSW,Australia,7
333,314 Northland Plaza,4213,QLD,Australia,5
2826,9 Springview Terrace,3121,VIC,Australia,10
1707,78 Colorado Park,4105,QLD,Australia,8
1198,81167 Division Hill,2873,NSW,Australia,1
170,48 Cascade Terrace,3057,VIC,Australia,8
3481,00 1st Trail,3223,VIC,Australia,7
695,02 Bartelt Center,2745,NSW,Australia,8
2298,974 Fisk Alley,3977,VIC,Australia,4
753,37 Dorton Street,2594,NSW,Australia,3
3071,23384 Kings Drive,2261,NSW,Australia,9
1913,81856 Express Lane,2299,NSW,Australia,6
2633,1945 Loomis Alley,2871,NSW,Australia,1
178,8 Dixon Parkway,2783,NSW,Australia,7
252,8029 Gulseth Center,2304,NSW,Australia,7
1032,8572 Melvin Drive,3145,VIC,Australia,11
1094,06 Heffernan Junction,4074,QLD,Australia,7
1396,8108 Clyde Gallagher Crossing,3756,VIC,Australia,4
1186,84 Westridge Hill,2061,NSW,Australia,10
2770,3 Buena Vista Crossing,2444,NSW,Australia,6
2271,004 Gulseth Junction,2619,NSW,Australia,8
2518,5 Warbler Avenue,3071,VIC,Australia,10
3197,8 Havey Alley,2031,NSW,Australia,8
2538,94554 Derek Trail,2009,NSW,Australia,10
1979,38759 Butterfield Avenue,4305,QLD,Australia,2
1447,89684 Coolidge Hill,2630,NSW,Australia,1
2618,2271 Fordem Plaza,2780,NSW,Australia,8
1224,81 American Place,2259,NSW,Australia,6
1019,711 Sachtjen Point,2540,NSW,Australia,8
1677,41 Vahlen Park,2230,NSW,Australia,12
1047,6 Pawling Trail,2871,NSW,Australia,7
1320,1988 Bartillon Terrace,4500,QLD,Australia,3
823,388 Weeping Birch Plaza,2156,NSW,Australia,11
854,56 Graceland Alley,3031,VIC,Australia,7
1141,91 Messerschmidt Trail,3162,VIC,Australia,11
1574,996 Morning Parkway,2119,NSW,Australia,11
132,12306 Lawn Street,2145,New South Wales,Australia,8
1399,4 Milwaukee Park,3046,VIC,Australia,9
2118,25943 Montana Street,2747,NSW,Australia,8
1691,091 Hoard Street,2229,NSW,Australia,12
345,08 Ronald Regan Plaza,2251,NSW,Australia,9
1665,816 Gale Pass,2261,NSW,Australia,7
1059,1149 Riverside Parkway,2016,NSW,Australia,11
964,2379 Dorton Pass,2089,NSW,Australia,12
1466,21 Spohn Drive,2530,NSW,Australia,8
